x_value,total_1,total_2
0,1000,1000
1,998,1006
2,995,1004
3,998,1005
4,1003,1001
5,1005,999
6,1002,1005
7,1004,1010
8,1006,1011
9,1000,1007
10,997,1002
11,993,1007
12,990,1006
13,992,1009
14,987,1009
15,992,1014
16,997,1010
17,995,1006
18,990,1001
19,992,1003
20,993,1004
21,1000,1009
22,1002,1014
23,996,1016
24,1003,1015
25,999,1015
26,1000,1019
27,999,1016
28,999,1017
29,1002,1018
30,1001,1014
31,1007,1009
32,1001,1014
33,1005,1009
34,1001,1008
35,1001,1011
36,1003,1015
37,997,1014
38,1000,1011
39,1007,1010
40,1008,1016
41,1008,1021
42,1005,1019
43,1002,1022
44,1001,1018
45,996,1017
46,996,1012
47,998,1018
48,993,1013
49,999,1013
50,994,1011
51,996,1015
52,1003,1015
53,997,1012
54,998,1018
55,992,1021
56,988,1027
57,986,1032
58,993,1034
59,987,1037
60,995,1032
61,994,1037
62,1000,1035
63,1001,1036
64,1000,1041
65,994,1040
66,998,1039
67,1003,1039
68,1005,1037
69,1007,1037
70,1010,1039
71,1005,1038
72,1009,1044
73,1013,1039
74,1011,1044
75,1006,1045
76,1002,1050
77,1003,1050
78,1007,1055
79,1001,1051
80,996,1052
81,997,1051
82,991,1048
83,988,1047
84,985,1052
85,993,1056
86,1001,1059
87,1002,1059
88,1002,1063
89,1006,1066
90,1009,1072
91,1014,1076
92,1019,1074
93,1022,1074
94,1019,1077
95,1023,1083
96,1026,1082
97,1022,1077
98,1028,1083
99,1036,1088
100,1030,1090
101,1035,1094
102,1039,1096
103,1045,1092
104,1046,1092
105,1043,1096
106,1044,1093
107,1043,1096
108,1039,1095
109,1044,1094
110,1043,1097
111,1040,1101
112,1043,1107
113,1044,1110
114,1046,1108
115,1043,1103
116,1048,1105
117,1046,1106
118,1048,1102
119,1051,1099
120,1058,1097
121,1053,1093
122,1055,1090
123,1057,1090
124,1057,1085
125,1064,1083
126,1069,1085
127,1070,1085
128,1078,1083
129,1073,1087
130,1071,1087
131,1077,1088
132,1082,1084
133,1089,1090
134,1085,1092
135,1090,1093
136,1093,1099
137,1093,1101
138,1095,1098
139,1096,1100
140,1093,1095
141,1092,1092
142,1092,1088
143,1093,1090
